data_lancamento,nome_artistico,nome_artista,qtd_artistas,qtd_playlists_spotify,qtd_destaques_spotify,qtd_transmissoes,qtd_playlists_apple,qtd_destaques_apple,qtd_playlists_deezer,qtd_destques_deezer,qtd_destaues_shazam,batidas_por_minuto,modo,acustica_%,instrumentalidade_%
2021-08-13,OUT OUT (FEAT. CHARLI XCX & SAWEETIE),"CHARLI XCX, JAX JONES, JOEL CORRY, SAWEETIE",4,6890,0,427486004.0,122,11,201.0,0,1.0,124,MINOR,2,0
2016-04-20,POPE IS A ROCKSTAR,SALES,1,1966,0,156658366.0,4,2,50.0,0,0.0,90,MINOR,85,24
2021-04-14,2055,SLEEPY HALLOW,1,2226,0,624515457.0,29,0,44.0,0,0.0,161,MINOR,46,0
2017-03-30,BORED,BILLIE EILISH,1,4204,0,777765388.0,39,45,250.0,0,0.0,120,MAJOR,90,0
2021-07-28,HAPPIER THAN EVER - EDIT,BILLIE EILISH,1,1959,0,412795151.0,19,0,38.0,0,0.0,81,MAJOR,7,0
2019-01-01,ASTRONAUT IN THE OCEAN,MASKED WOLF,1,7191,0,1138474110.0,146,18,478.0,0,7.0,150,MINOR,18,0
2021-09-02,LEY SECA,"ANUEL AA, JHAY CORTEZ",2,2012,0,355219175.0,101,12,38.0,0,0.0,105,MAJOR,10,0
2021-08-10,EVERY SUMMERTIME,NIKI,1,1211,2,290228626.0,30,2,5.0,0,6.0,79,MAJOR,38,0
2010-10-04,TALKING TO THE MOON,BRUNO MARS,1,7109,2,1062956628.0,5,0,862.0,0,0.0,146,MINOR,51,0
2020-04-17,YOU BROKE ME FIRST,TATE MCRAE,1,6638,0,1180094974.0,167,19,318.0,0,1.0,124,MAJOR,79,0
2014-01-01,THE NIGHTS,AVICII,1,17354,8,1456081449.0,92,122,1.282,0,55.0,126,MAJOR,2,0
2021-08-06,TAKE MY BREATH,THE WEEKND,1,6392,0,432702334.0,174,73,344.0,0,0.0,121,MAJOR,2,0
2021-09-03,WAY 2 SEXY (WITH FUTURE & YOUNG THUG),"DRAKE, FUTURE, YOUNG THUG",3,5481,0,489945871.0,144,30,86.0,0,0.0,136,MINOR,0,0
2021-06-25,CÏ¿½Ï¿½,RAUW ALEJANDRO,1,2636,3,465959382.0,36,82,39.0,0,5.0,102,MINOR,58,0
2021-10-27,ENEMY - FROM THE SERIES ARCANE LEAGUE OF LEGENDS,"IMAGINE DRAGONS, LEAGUE OF LEGENDS, ARCANE",3,824,0,1223481149.0,8,8,8.0,2,0.0,77,MAJOR,23,0
2019-05-10,DANCE MONKEY,TONES AND I,1,24529,0,2864791672.0,533,167,3.595,6,0.0,98,MINOR,69,0
2017-06-15,LUCID DREAMS,JUICE WRLD,1,14749,0,2288695111.0,188,34,710.0,0,5.0,84,MINOR,38,0
2021-01-28,QUÏ¿½Ï¿½ MÏ¿½Ï¿,"J BALVIN, MARIA BECERRA",2,8087,0,720825549.0,92,34,131.0,0,0.0,102,MAJOR,3,0
2013-08-01,ALL OF ME,JOHN LEGEND,1,27221,0,2086124197.0,308,118,4.534,2,77.0,120,MAJOR,92,0
1991-09-10,SMELLS LIKE TEEN SPIRIT - REMASTERED 2021,NIRVANA,1,49991,9,1690192927.0,265,121,12.367,4,160.0,117,MAJOR,0,0
2019-03-07,ARCADE,DUNCAN LAURENCE,1,6646,0,991336132.0,107,47,584.0,1,0.0,72,MINOR,82,0
2021-09-03,FAIR TRADE (WITH TRAVIS SCOTT),"DRAKE, TRAVIS SCOTT",2,5403,6,593917618.0,118,116,96.0,0,3.0,168,MAJOR,5,0
2021-11-11,BAR,"TINI, L-GANTE",2,755,4,200972675.0,22,3,0.0,0,0.0,94,MAJOR,13,0
2022-01-10,THE RUMBLING (TV SIZE),SIM,1,254,0,71014967.0,0,4,23.0,0,0.0,145,MAJOR,0,0
2021-08-27,FAMILY TIES (WITH KENDRICK LAMAR),"KENDRICK LAMAR, BABY KEEM",2,6308,5,560222750.0,114,15,63.0,0,2.0,134,MAJOR,1,0
2003-09-23,MR. BRIGHTSIDE,THE KILLERS,1,51979,15,1806617704.0,306,99,5.063,2,120.0,148,MAJOR,0,0
2022-01-10,BLESSED-CURSED,ENHYPEN,1,246,0,77337771.0,2,12,10.0,0,0.0,127,MINOR,9,0
2021-06-24,AM REMIX,"J BALVIN, NIO GARCIA, BAD BUNNY",3,6556,0,528544703.0,93,5,67.0,1,0.0,172,MINOR,11,0
2019-11-07,STREETS,DOJA CAT,1,5728,0,865640097.0,85,87,179.0,0,12.0,90,MAJOR,21,4
2018-09-27,SHALLOW,"LADY GAGA, BRADLEY COOPER",2,16636,12,2159346687.0,368,155,2.854,6,121.0,96,MAJOR,38,0
2022-01-10,POLAROID LOVE,ENHYPEN,1,461,0,211372494.0,10,56,17.0,0,0.0,138,MINOR,46,0
2021-04-28,LEAVE BEFORE YOU LOVE ME (WITH JONAS BROTHERS),"MARSHMELLO, JONAS BROTHERS",2,4893,4,651732901.0,143,24,110.0,0,70.0,120,MAJOR,0,0
2021-07-09,PERMISSION TO DANCE,BTS,1,1801,2,608334048.0,77,134,74.0,0,2.0,125,MAJOR,1,0
2021-01-15,FRIDAY (FEAT. MUFASA & HYPEMAN) - DOPAMINE RE-EDIT,"RITON, NIGHTCRAWLERS, MUFASA & HYPEMAN, DOPAMINE",4,12043,0,863756573.0,209,54,710.0,0,18.0,123,MAJOR,1,0
2021-04-09,RAPSTAR,POLO G,1,4731,0,797402345.0,141,12,78.0,0,0.0,81,MAJOR,41,0
2002-05-26,'TILL I COLLAPSE,"EMINEM, NATE DOGG",2,22923,0,1695712020.0,78,46,2.515,1,0.0,171,MAJOR,7,0
2019-09-20,MEMORIES,MAROON 5,1,9974,2,1759567999.0,272,67,1.066,1,19.0,91,MAJOR,84,0
2021-08-12,SE LE VE,"ARCANGEL, DE LA GHETTO, JUSTIN QUILES, LENNY TAVÏ¿½Ï¿½REZ, SECH, DALEX, DIMELO FLOW, RICH MUSIC",8,1560,0,223319934.0,72,0,0.0,0,0.0,84,MINOR,10,0
2022-01-07,25K JACKET (FEAT. LIL BABY),"GUNNA, LIL BABY",2,620,0,54937991.0,17,3,3.0,0,0.0,115,MINOR,16,0
2021-12-29,WHEN IÏ¿½Ï¿½Ï¿½M GONE (WITH KATY,"KATY PERRY, ALESSO",2,3270,0,226897599.0,89,21,65.0,0,0.0,125,MAJOR,4,0
2021-10-14,ESQUEÏ¿½Ï¿½A-ME SE FOR C,"MARÏ¿½Ï¿½LIA MENDONÏ¿½Ï¿½A, MAIARA &",2,580,0,258316038.0,24,92,93.0,0,0.0,122,MINOR,28,0
2021-04-29,MIÏ¿½Ï¿½N,"TINI, MARIA BECERRA",2,3406,16,596152090.0,61,23,70.0,1,0.0,92,MAJOR,16,0
2021-11-18,SÏ¿½Ï¿½,"ANUEL AA, MYKE TOWERS, JHAY CORTEZ",3,903,0,177129919.0,30,26,15.0,0,0.0,90,MINOR,17,0
2022-02-10,MAMIII,"KAROL G, BECKY G",2,6809,28,716591492.0,151,102,175.0,5,29.0,94,MINOR,9,0
1999-01-01,STILL D.R.E.,"DR. DRE, SNOOP DOGG",2,33966,0,1210599487.0,141,78,6.591,1,0.0,93,MAJOR,18,0
2022-02-11,STAY ALIVE (PROD. SUGA OF BTS),JUNG KOOK,1,590,5,246376690.0,4,113,20.0,0,1.0,130,MINOR,30,0
2022-02-11,BOYFRIEND,DOVE CAMERON,1,3766,0,496311364.0,76,0,102.0,0,2.0,180,MINOR,23,0
2022-02-11,THE JOKER AND THE QUEEN (FEAT. TAYLOR SWIFT),"ED SHEERAN, TAYLOR SWIFT",2,1430,0,146789379.0,46,1,34.0,0,0.0,134,MAJOR,92,0
1999-01-01,THE NEXT EPISODE,"DR. DRE, SNOOP DOGG",2,31762,0,843309044.0,142,40,5.451,1,953.0,95,MINOR,3,0
2022-01-19,LIGHT SWITCH,CHARLIE PUTH,1,4049,0,500340342.0,119,6,85.0,1,1.0,184,MAJOR,11,0
2022-02-11,CITY OF GODS,"KANYE WEST, ALICIA KEYS, FIVIO FOREIGN",3,2096,0,107255472.0,34,3,30.0,0,0.0,147,MINOR,10,0
2022-02-02,BRIVIDI,"MAHMOOD, BLANCO",2,1175,0,135079152.0,34,1,31.0,0,0.0,123,MAJOR,40,0
2012-01-01,LOST,FRANK OCEAN,1,29499,11,822239726.0,124,27,587.0,0,4.0,123,MINOR,3,0
2002-01-01,IN DA CLUB,50 CENT,1,30427,7,1202722675.0,235,106,5.221,1,35.0,90,MINOR,26,0
2022-02-04,SHE'S ALL I WANNA BE,TATE MCRAE,1,2711,0,343197054.0,105,12,51.0,0,12.0,160,MINOR,1,0
2013-08-16,GINSENG STRIP 2002,YUNG LEAN,1,4310,0,240769997.0,13,0,113.0,1,3.0,115,MAJOR,8,0
